ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
HP 15s Intel Core i3 11th Gen,4.4,79,11,40100,48400,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70
HP 15s Core i3 11th Gen,4.3,543,67,44000,51333,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/c/j/8/hp-original-imagyckn3hqfgp4y.jpeg?q=70
HP Core i3 11th Gen,0,0,0,43900,59500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/r/k/z/15s-fr2512tu-laptop-hp-original-imaggykjf2ggyfgj.jpeg?q=70
HP Athlon Dual Core 3050U,4,539,53,26490,36359,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.3,3796,397,36990,46052,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/d/j/15s-eq1560au-thin-and-light-laptop-hp-original-imaggsgk3gpr6jpp.jpeg?q=70
HP 15 Core i3 6th Gen,4.1,3103,535,36163,0,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Intel Core i3 Processor (6th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/j431rbk0/computer/t/h/p/hp-notebook-original-imaev2zfjqfpf3ng.jpeg?q=70
HP Core i3 10th Gen,3.9,44,3,39643,0,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/computer/9/u/k/hp-250-g7-business-laptop-original-imafuskbuzwyx4mg.jpeg?q=70
HP Ryzen 3 Dual Core,0,0,0,37890,42150,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB HDD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/n/7/255-g8-r3-laptop-hp-original-imaggwpywbhnywt7.jpeg?q=70
HP 15s Ryzen 3 Dual Core 3250U,4.3,4406,510,39501,48053,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70
HP 250 G8 Core i3 11th Gen,3.9,50,6,37600,46900,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/t/e/hp-250-g8-notebook-hp-original-imaggy7xh7jnch35.jpeg?q=70
HP Core i3 11th Gen,4,3,0,37690,49999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ky4qgsw0/computer/j/f/5/240-g8-laptop-hp-original-imagaffva46zgucg.jpeg?q=70
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,3.5,4,0,35990,44912,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/6/z/k/hp-laptop-255-g8-notebook-notebook-hp-original-imagf6hthg9zbxug.jpeg?q=70
HP Core i3 11th Gen,3.5,17,4,37990,44176,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/computer/u/x/c/hp-240-notebook-hp-original-imagd7bzvn4e2mhx.jpeg?q=70
HP Athlon Dual Core,3.5,13,2,35888,37999,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70
HP Core i3 11th Gen,4.1,16,0,39200,43644,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/2/a/h/255-g8-laptop-hp-original-imagcnk9gvmqvhaq.jpeg?q=70
HP Core i3 11th Gen,0,0,0,39676,44616,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l4iscy80/computer/8/g/6/hp-240-g8-notebook-pc-laptop-hp-original-imagfegwnshsp5pk.jpeg?q=70
HP 15 Core i3 8th Gen,3.9,485,65,36054,0,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kawtvgw0/computer/6/n/p/hp-original-imafsdhae6ebmgtw.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,8484,762,86990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,11199,1145,59990,63539,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/q/x/r/hp-original-imaftyzachgrav8f.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,8484,762,86990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70
MSI GF63 Thin Core i5 11th Gen,4.4,375,37,51990,64990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,230,34,67490,81869,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kwdv3bk0/computer/r/m/c/15-ec2145ax-gaming-laptop-hp-original-imag92vp9cznphgg.jpeg?q=70
MSI Core i5 11th Gen,4.5,2432,305,63600,83990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
MSI Core i7 11th Gen,4.3,112,5,69990,89990,Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,4.6,31,4,129990,188990,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kxnl6kw0/computer/p/y/t/a5efk-083in-gaming-laptop-msi-original-imaga237dvrrnznh.jpeg?q=70
HP Pavilion Intel Core i5 12th Gen,4.3,201,9,67680,78294,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/computer/s/i/s/-original-imagfc54nty5wgeh.jpeg?q=70
HP 15s Intel Core i5 12th Gen,4.2,1718,147,59699,67832,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/6/4/-original-imagkqwzbryf6sp7.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,174,16,50499,63289,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.1,911,89,29990,43631,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/j/c/-original-imagh3wecapg5gqn.jpeg?q=70
HP Victus Intel Core i5 12th Gen,4.3,376,33,66990,83027,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70
HP 15s Intel Core i5 12th Gen,4.1,98,6,62990,72210,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/v/i/-original-imagggnnxdzu38xy.jpeg?q=70
HP 14s Intel Core i5 12th Gen,4.2,1151,108,61000,72331,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/q/2/-original-imagkqwzyzfahqac.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.8,90,11,113990,119900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/y/j/z/macbook-air-thin-and-light-laptop-apple-original-imagfdeqter4sj2j.jpeg?q=70
HP Pavilion Intel Core i5 12th Gen,4.1,94,6,62849,73688,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/computer/i/w/t/-original-imagfc54rffkuxqd.jpeg?q=70
APPLE MacBook Air M1,4.7,643,74,105990,112900,Apple M1 Processor,16 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/b/v/q/na-thin-and-light-laptop-apple-original-imagaygvkp7pjexm.jpeg?q=70
HP 15s Intel Core i5 12th Gen,4.1,34,4,61900,72400,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/e/x/b/-original-imagf4ghfjtdpb3z.jpeg?q=70
APPLE 2022 MacBook Pro M2,4.6,14,1,122990,129900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/g/u/k/macbook-pro-thin-and-light-laptop-apple-original-imagfdewfh9z3pee.jpeg?q=70
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,4.4,96,17,32990,47990,Qualcomm Snapdragon 7c Gen 2 Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/computer/z/m/a/np340xla-ka1in-thin-and-light-laptop-samsung-original-imagcgqvcvcbsun6.jpeg?q=70
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H,4.5,363,52,87990,111990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/r/z/alpha-15-amd-advantage-edition-b5eek-gaming-laptop-msi-original-imaghffgxvfmtcpg.jpeg?q=70
HP Intel Core i3 11th Gen,4.2,151,11,50990,58174,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktketu80/computer/r/f/r/14-dy0050tu-thin-and-light-laptop-hp-original-imag6w29bs32mq2j.jpeg?q=70
APPLE MacBook Air M1,4.7,643,74,125990,132900,Apple M1 Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/i/d/p/na-thin-and-light-laptop-apple-original-imagaygvtvf6cx8h.jpeg?q=70
HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,4.3,278,29,76990,92404,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kulk9zk0/computer/f/t/w/15-ec2075ax-gaming-laptop-hp-original-imag7nyzhxqc7xhh.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,8484,762,86990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70
HP Victus Intel Core i7 12th Gen,4.2,42,5,91990,101278,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70
HP Victus Core i5 11th Gen,4.3,343,52,67990,77190,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/h/o/-original-imagggyq3zzqggpz.jpeg?q=70
HP Pavilion Intel Core i3 11th Gen,4.3,7,1,62900,68999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2tcfbk0/computer/i/y/t/14-dy1050tu-thin-and-light-laptop-hp-original-image2tcbjscezyj.jpeg?q=70
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.6,70,11,59990,79990,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l37mtu80/computer/q/v/i/np750xed-kb1in-thin-and-light-laptop-samsung-original-imagednvcrgdxpam.jpeg?q=70
APPLE 2022 MacBook Pro M2,4.5,32,3,122990,129900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/r/6/b/macbook-pro-thin-and-light-laptop-apple-original-imagfdeu9rmugapt.jpeg?q=70
APPLE 2021 Macbook Pro M1 Pro,4.8,112,14,223990,239900,Apple M1 Pro Processor,16 GB Unified Memory RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kuyf8nk0/computer/c/8/u/mkgp3hn-a-thin-and-light-laptop-apple-original-imag7yznc5d2rsuh.jpeg?q=70
HP Ryzen 7 Octa Core 5700U,4.2,115,13,59890,72148,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/knni7ww0/computer/b/w/p/14s-fr0012au-thin-and-light-laptop-hp-original-imag2ad5ppxmujd6.jpeg?q=70
APPLE 2022 MacBook AIR M2,5,7,2,140990,149900,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/p/p/o/macbook-air-thin-and-light-laptop-apple-original-imagfdfpnjjpdhq2.jpeg?q=70
HP Ryzen 7 Octa Core 5700U,4.2,115,13,59890,72148,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/knni7ww0/computer/b/w/p/14s-fr0012au-thin-and-light-laptop-hp-original-imag2ad5ppxmujd6.jpeg?q=70
HP Pavilion Intel Core i5 12th Gen,4.1,94,6,62849,73688,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/computer/i/w/t/-original-imagfc54rffkuxqd.jpeg?q=70
APPLE 2021 Macbook Pro M1 Pro,4.8,112,14,182990,194900,Apple M1 Pro Processor,16 GB Unified Memory RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kuyf8nk0/computer/c/8/u/mkgp3hn-a-thin-and-light-laptop-apple-original-imag7yznc5d2rsuh.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.7,26,0,140990,149900,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/y/j/z/macbook-air-thin-and-light-laptop-apple-original-imagfdeqter4sj2j.jpeg?q=70
MSI GF63 Thin Core i7 10th Gen,4.3,1156,119,63990,83990,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,8484,762,86990,99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core 5625U,4.5,180,13,63490,72537,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/computer/t/g/j/14-ec1008au-thin-and-light-laptop-hp-original-imagdsx9uqnpahja.jpeg?q=70
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,4.4,96,17,32990,47990,Qualcomm Snapdragon 7c Gen 2 Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/computer/z/m/a/np340xla-ka1in-thin-and-light-laptop-samsung-original-imagcgqvcvcbsun6.jpeg?q=70
HP Athlon Dual Core 3050U,4.1,705,73,28990,39288,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/j/c/-original-imagh3wecapg5gqn.jpeg?q=70
HP intel Celeron Dual Core,0,0,0,25490,31531,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 Inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/p/a/chromebook-chromebook-hp-original-imagkwj8tahdykbd.jpeg?q=70
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.6,70,11,59990,79990,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l37mtu80/computer/q/v/i/np750xed-kb1in-thin-and-light-laptop-samsung-original-imagednvcrgdxpam.jpeg?q=70
APPLE 2021 Macbook Pro M1 Pro,4.8,112,14,242990,259900,Apple M1 Pro Processor,16 GB Unified Memory RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kuyf8nk0/computer/3/n/s/mk183hn-a-laptop-apple-original-imag7yzkbgbwvwq3.jpeg?q=70
HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,4.3,278,29,76990,92404,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kulk9zk0/computer/f/t/w/15-ec2075ax-gaming-laptop-hp-original-imag7nyzhxqc7xhh.jpeg?q=70
APPLE MacBook Air M1,4.7,643,74,105990,112900,Apple M1 Processor,16 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/i/d/p/na-thin-and-light-laptop-apple-original-imagaygvtvf6cx8h.jpeg?q=70
APPLE 2022 MacBook Pro M2,4.5,32,3,122990,129900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/r/6/b/macbook-pro-thin-and-light-laptop-apple-original-imagfdeu9rmugapt.jpeg?q=70
MSI Core i5 11th Gen,4.5,187,17,54150,78990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
APPLE 2021 Macbook Pro M1 Pro,4.8,112,14,223990,239900,Apple M1 Pro Processor,16 GB Unified Memory RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/kuyf8nk0/computer/c/8/u/mkgp3hn-a-thin-and-light-laptop-apple-original-imag7yznc5d2rsuh.jpeg?q=70
MSI GP66 Leopard Core i7 11th Gen,4.5,99,24,129990,173990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/b/p/8/gp66-leopard-11ug-gaming-laptop-msi-original-imageynxarsxgnh3.jpeg?q=70
APPLE 2022 MacBook AIR M2,5,7,2,140990,149900,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/p/p/o/macbook-air-thin-and-light-laptop-apple-original-imagfdfpnjjpdhq2.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.9,37,5,113990,119990,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4hcx3k0/computer/p/p/o/macbook-air-thin-and-light-laptop-apple-original-imagfdfpnjjpdhq2.jpeg?q=70
